sensitivity,batch_size,learning_rate,hidden_dims,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,roc_auc,average_precision,threshold,true_negatives,false_positives,false_negatives,true_positives,final_train_loss,elapsed_seconds,objective
90.0,512,0.0005,32-16-8,0.8991362561737787,0.014446227929373997,0.8513513513513513,0.028410372040586246,0.8992191713367881,0.10078082866321195,0.14864864864864866,0.9394471205794394,0.3903798436288766,0.007506969850510359,38349,4298,11,63,0.004191506426110864,4.513915750023443,0.5528272671351085
95.0,512,0.0001,16-8-4,0.950211839610496,0.027176416397973285,0.7972972972972973,0.05256124721603563,0.9504771730719629,0.04952282692803714,0.20270270270270271,0.9279558652140545,0.3782081168923765,0.027062589302659035,40535,2112,15,59,0.014235975871384143,4.337810666998848,0.5527710277526822
90.0,256,0.0005,16-8-4,0.8992532946326163,0.01423977951309141,0.8378378378378378,0.028003613369467027,0.8993598611860154,0.10064013881398456,0.16216216216216217,0.9262140361572914,0.3928743895379763,0.011936279013752937,38355,4292,12,62,0.006824260845631361,5.7217035830253735,0.5520137795904435
90.0,256,0.0005,32-16-8,0.8986446946466609,0.014598540145985401,0.8648648648648649,0.028712427097353072,0.8987033085562877,0.10129669144371234,0.13513513513513514,0.9345679712587116,0.38563675870593367,0.006058820523321629,38327,4320,10,64,0.003392405163422227,6.345764500030782,0.5512046292002938
99.5,512,0.001,64-32-16-8,0.9943821539757964,0.19029850746268656,0.6891891891891891,0.2982456140350877,0.9949117171196098,0.0050882828803901796,0.3108108108108108,0.9367958774071748,0.37792688366549937,0.03069223277270794,42430,217,23,51,0.003186963955760002,5.857817666954361,0.5476800395226016
90.0,512,0.001,32-16-8,0.8970997869900049,0.014163669064748202,0.8513513513513513,0.02786377708978328,0.8971791685229911,0.10282083147700893,0.14864864864864866,0.9355979540400485,0.3851200167465287,0.006194551941007376,38262,4385,11,63,0.003437218530327082,4.5317450419534,0.546547438845862
99.5,128,0.0005,32-16-8,0.9944289693593314,0.1893939393939394,0.6756756756756757,0.2958579881656805,0.9949820620442235,0.005017937955776491,0.32432432432432434,0.9398021723273207,0.3797807961430008,0.03018692508339882,42433,214,24,50,0.0029722950791567565,8.672044457984157,0.5461907460840315
90.0,128,0.0005,32-16-8,0.8974977177500527,0.014437175727498308,0.8648648648648649,0.028400266252496118,0.897554341454264,0.10244565854573592,0.13513513513513514,0.9398021723273207,0.3797807961430008,0.005244612228125334,38278,4369,10,64,0.0029722950791567565,8.79616166697815,0.5447741830863492
90.0,128,0.0001,16-8-4,0.9000257484609443,0.01412363973141931,0.8243243243243243,0.027771454586842704,0.9001571036649706,0.09984289633502942,0.17567567567567569,0.9269740465252458,0.3871189812567161,0.013646028935909271,38389,4258,13,61,0.007697814201563596,7.692458542005625,0.5432786141702824
90.0,512,0.001,64-32-16-8,0.8977786100512628,0.014476362813843022,0.8648648648648649,0.028476084538375974,0.8978357211527188,0.10216427884728117,0.13513513513513514,0.9367958774071748,0.37792688366549937,0.005718815140426159,38290,4357,10,64,0.003186963955760002,5.604174499982037,0.5430609604580751
90.0,128,0.0005,16-8-4,0.8981765408113106,0.01386994088221919,0.8243243243243243,0.02728085867620751,0.8983046873168101,0.1016953126831899,0.17567567567567569,0.9316355068225071,0.38408478834774223,0.011029278859496117,38310,4337,13,61,0.0063805867528915405,7.686956582998391,0.5393182130872284
90.0,256,0.0001,64-32-16-8,0.9007513869057372,0.014678471575023298,0.8513513513513513,0.02885936784241869,0.9008371046029029,0.0991628953970971,0.14864864864864866,0.9392688817501817,0.37518429907395046,0.009554228745400906,38418,4229,11,63,0.0050671940313279625,7.681992375000846,0.5384406892132397
90.0,128,0.001,16-8-4,0.8993001100161513,0.014022988505747127,0.8243243243243243,0.027576853526220614,0.8994302061106291,0.10056979388937089,0.17567567567567569,0.9313430367080097,0.3812239981225798,0.010549155995249748,38358,4289,13,61,0.006057931404858828,7.589585791982245,0.5370201822589755
90.0,512,0.0001,32-16-8,0.8982935792701482,0.013885727293421352,0.8243243243243243,0.0273113946720394,0.8984219288578329,0.10157807114216709,0.17567567567567569,0.9345179059520046,0.3787276038811755,0.018283315002918243,38315,4332,13,61,0.010620941207110882,4.5618111249641515,0.5340196493911731
90.0,512,0.0001,64-32-16-8,0.8983169869619156,0.014110150204824761,0.8378378378378378,0.02775290957923008,0.8984219288578329,0.10157807114216709,0.16216216216216217,0.9341536650022593,0.3713092551785352,0.01815430261194706,38315,4332,12,62,0.010516730484068393,5.694740125036333,0.5299796790669111
